Band #,date (D/M/Y),Colour,Darvic,Sex,Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
847859,9/24/1999,NA,A78,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
844441,9/30/1986,ONO,A79,F,ad,0,0,0,0,3,0,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,3,3,1,5,5,1,3,0,0,0,0,1
847937,9/23/1998,NA,A80,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844857,3/19/1987,NA,A81,F,fl,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,5,5,3,1,5,3,5,3,3,3,5,3,3,0,0,0,0,0
847898,12/14/1997,NA,A82,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816364,3/11/1982,YRN,A83,F,ad,3,1,3,0,3,0,5,0,5,1,1,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
844688,9/4/1985,WOO,A84,F,fl,0,0,8,0,0,0,0,0,0,0,0,3,0,0,3,3,5,5,3,3,5,3,3,3,3,3,5,3,0,0,0,0,0,0
844031,9/16/1983,NWY,A85,F,ad,0,3,3,5,3,0,0,3,3,3,3,5,3,0,3,5,3,3,1,3,5,5,5,3,5,5,1,1,1,0,0,1,1,0
847893,5/11/1997,NA,A86,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,5,1,0,3,1,3,5,5,3,3,0,0,0,0,1
847621,1/4/1988,NA,A87,NA,fl,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,1,3,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0
847892,5/11/1997,NA,A88,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0
847891,5/11/1997,NA,A89/94,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,3,1,5,3,3,3,3,3,5,3,3,3,0,3,0,0
847934,9/20/1998,NA,A90,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,1,0,0,5,3,1,1,1,3,3,0,0,0,0,0
847939,1/11/1998,NA,A91,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,1,5,5,0,1,0,0,0,0,0,0,0,0,0
